6898, none, minecraft:the_void, MONSTER, mowziesmobs:grottol, 3, 1, 3
6899, none, minecraft:the_void, WATER_AMBIENT, aquaculture:catfish, 3, 1, 3
6900, none, minecraft:the_void, WATER_AMBIENT, aquaculture:gar, 3, 1, 3
6901, none, minecraft:the_void, WATER_AMBIENT, aquaculture:minnow, 3, 1, 3
6902, none, minecraft:the_void, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 3
6903, none, minecraft:the_void, WATER_AMBIENT, aquaculture:smallmouth_bass, 3, 1, 3
6904, none, minecraft:the_void, WATER_AMBIENT, aquaculture:perch, 3, 1, 3
6905, none, minecraft:the_void, WATER_AMBIENT, aquaculture:carp, 3, 1, 3
6906, none, minecraft:the_void, WATER_AMBIENT, aquaculture:bluegill, 3, 1, 3
6907, none, minecraft:the_void, WATER_AMBIENT, aquaculture:brown_trout, 3, 1, 3
6908, plains, minecraft:plains, MONSTER, minecraft:spider, 3, 1, 3
6909, plains, minecraft:plains, MONSTER, minecraft:zombie, 3, 1, 3
6910, plains, minecraft:plains, MONSTER, minecraft:skeleton, 3, 1, 3
6911, plains, minecraft:plains, MONSTER, minecraft:creeper, 3, 1, 3
6912, plains, minecraft:plains, MONSTER, minecraft:slime, 3, 1, 3
6913, plains, minecraft:plains, MONSTER, minecraft:enderman, 1, 1, 3
6914, plains, minecraft:plains, MONSTER, minecraft:witch, 1, 1, 3
6915, plains, minecraft:plains, MONSTER, mowziesmobs:grottol, 3, 1, 3
6916, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 3, 1, 3
6917, plains, minecraft:plains, MONSTER, quark:stoneling, 3, 1, 3
6918, plains, minecraft:plains, MONSTER, quark:toretoise, 3, 1, 3
6919, plains, minecraft:plains, CREATURE, minecraft:sheep, 3, 1, 3
6920, plains, minecraft:plains, CREATURE, minecraft:pig, 3, 1, 3
6921, plains, minecraft:plains, CREATURE, minecraft:chicken, 3, 1, 3
6922, plains, minecraft:plains, CREATURE, minecraft:cow, 3, 1, 3
6923, plains, minecraft:plains, CREATURE, minecraft:horse, 3, 1, 3
6924, plains, minecraft:plains, CREATURE, minecraft:donkey, 3, 1, 3
6925, plains, minecraft:plains, CREATURE, isleofberk:gronckle, 3, 1, 3
