229, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
230, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 1, 1, 1
231, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
232, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
233, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
234, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
235, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
236, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
237, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
238, minecraft:shipwreck, MONSTER, alexsmobs:skelewag, 15, 1, 2
239, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
240, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
241, minecraft:swamp_hut, MONSTER, minecraft:witch, 1, 1, 1
242, minecraft:swamp_hut, CREATURE, minecraft:cat, 1, 1, 1
243, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
244, minecraft:monument, HEADING, header:ignore, 0, 0, 0
245, minecraft:monument, MONSTER, minecraft:guardian, 1, 2, 4
246, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
247, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
248, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
249, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
250, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
251, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
252, minecraft:fortress, MONSTER, minecraft:skeleton, 2, 5, 5
253, minecraft:fortress, MONSTER, minecraft:magma_cube, 3, 4, 4
254, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
255, minecraft:nether_fossil, MONSTER, alexsmobs:soul_vulture, 15, 1, 1
256, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
257, minecraft:end_city, MONSTER, alexsmobs:mimicube, 15, 1, 3
258, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
259, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
260, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
261, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
262, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
263, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
264, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
265, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
266, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
267, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
268, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
269, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
270, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
271, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
272, byg:village_red_rock, HEADING, header:ignore, 0, 0, 0
273, byg:village_skyris, HEADING, header:ignore, 0, 0, 0
274, byg:village_ruins, HEADING, header:ignore, 0, 0, 0
275, byg:village_tropical, HEADING, header:ignore, 0, 0, 0
276, byg:red_rock_arch, HEADING, header:ignore, 0, 0, 0
277, byg:overgrown_stone_arch, HEADING, header:ignore, 0, 0, 0
278, byg:stone_arch, HEADING, header:ignore, 0, 0, 0
279, byg:destroyed_red_rock_arch, HEADING, header:ignore, 0, 0, 0
280, dungeons_plus:tower, HEADING, header:ignore, 0, 0, 0
281, dungeons_plus:reanimated_ruins_mossy, HEADING, header:ignore, 0, 0, 0
282, dungeons_plus:reanimated_ruins_mesa, HEADING, header:ignore, 0, 0, 0
283, dungeons_plus:reanimated_ruins_frozen, HEADING, header:ignore, 0, 0, 0
284, dungeons_plus:leviathan, HEADING, header:ignore, 0, 0, 0
285, dungeons_plus:leviathan, MONSTER, minecraft:husk, 1, 1, 4
286, dungeons_plus:snowy_temple, HEADING, header:ignore, 0, 0, 0
287, dungeons_plus:snowy_temple, MONSTER, minecraft:stray, 1, 1, 4
