1, none, minecraft:the_void, MONSTER, mowziesmobs:grottol, 2, 1, 1
2, none, minecraft:the_void, WATER_CREATURE, alexsmobs:cachalot_whale, 2, 1, 2
3, none, minecraft:the_void, WATER_AMBIENT, aquaculture:gar, 6, 1, 2
4, none, minecraft:the_void, WATER_AMBIENT, aquaculture:minnow, 15, 1, 5
5, none, minecraft:the_void, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
6, none, minecraft:the_void, WATER_AMBIENT, aquaculture:perch, 15, 1, 6
7, none, minecraft:the_void, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
8, none, minecraft:the_void, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
9, none, minecraft:the_void, WATER_AMBIENT, aquaculture:bluegill, 15, 1, 6
10, none, minecraft:the_void, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
11, none, minecraft:the_void, WATER_AMBIENT, aquaculture:catfish, 1, 1, 1
12, plains, minecraft:plains, MONSTER, minecraft:spider, 15, 4, 4
13, plains, minecraft:plains, MONSTER, minecraft:zombie, 15, 4, 4
14, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 1, 1, 1
15, plains, minecraft:plains, MONSTER, minecraft:skeleton, 15, 4, 4
16, plains, minecraft:plains, MONSTER, minecraft:creeper, 15, 4, 4
17, plains, minecraft:plains, MONSTER, minecraft:slime, 15, 4, 4
18, plains, minecraft:plains, MONSTER, minecraft:enderman, 1, 1, 4
19, plains, minecraft:plains, MONSTER, minecraft:witch, 1, 1, 1
20, plains, minecraft:plains, MONSTER, mowziesmobs:grottol, 2, 1, 1
21, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
22, plains, minecraft:plains, MONSTER, quark:stoneling, 15, 1, 1
23, plains, minecraft:plains, MONSTER, quark:toretoise, 15, 2, 4
24, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
25, plains, minecraft:plains, CREATURE, minecraft:pig, 10, 4, 4
26, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 4, 4
27, plains, minecraft:plains, CREATURE, minecraft:cow, 8, 4, 4
28, plains, minecraft:plains, CREATURE, minecraft:horse, 5, 2, 6
29, plains, minecraft:plains, CREATURE, minecraft:donkey, 1, 1, 3
30, plains, minecraft:plains, CREATURE, isleofberk:gronckle, 6, 1, 2
31, plains, minecraft:plains, CREATURE, ecologics:squirrel, 10, 2, 3
32, plains, minecraft:plains, CREATURE, crittersandcompanions:ferret, 3, 2, 3
33, plains, minecraft:plains, CREATURE, naturalist:snail, 2, 1, 3
34, plains, minecraft:plains, CREATURE, naturalist:butterfly, 4, 1, 3
35, plains, minecraft:plains, CREATURE, naturalist:snake, 3, 1, 1
36, plains, minecraft:plains, CREATURE, naturalist:robin, 6, 1, 4
37, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
38, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
39, plains, minecraft:plains, CREATURE, alexsmobs:bison, 9, 6, 10
40, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
41, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 3, 2, 3
42, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 4, 5, 5
43, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
44, plains, minecraft:plains, WATER_CREATURE, alexsmobs:cachalot_whale, 2, 1, 2
45, plains, minecraft:plains, WATER_AMBIENT, aquaculture:gar, 6, 1, 2
46, plains, minecraft:plains, WATER_AMBIENT, aquaculture:minnow, 15, 1, 5
47, plains, minecraft:plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
48, plains, minecraft:plains, WATER_AMBIENT, aquaculture:perch, 15, 1, 6
49, plains, minecraft:plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
50, plains, minecraft:plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
51, plains, minecraft:plains, WATER_AMBIENT, aquaculture:bluegill, 15, 1, 6
52, plains, minecraft:plains, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
53, plains, minecraft:plains, WATER_AMBIENT, aquaculture:catfish, 1, 1, 1
54, plains, minecraft:plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 15, 5, 12
55, plains, minecraft:plains, fireflies, naturalist:firefly, 6, 2, 3
56, plains, minecraft:sunflower_plains, MONSTER, minecraft:spider, 15, 4, 4
57, plains, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 15, 4, 4
58, plains, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 1, 1, 1
59, plains, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 15, 4, 4
60, plains, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 15, 4, 4
61, plains, minecraft:sunflower_plains, MONSTER, minecraft:slime, 15, 4, 4
62, plains, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 1, 1, 4
63, plains, minecraft:sunflower_plains, MONSTER, minecraft:witch, 1, 1, 1
64, plains, minecraft:sunflower_plains, MONSTER, mowziesmobs:grottol, 2, 1, 1
65, plains, minecraft:sunflower_plains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
66, plains, minecraft:sunflower_plains, MONSTER, quark:stoneling, 15, 1, 1
67, plains, minecraft:sunflower_plains, MONSTER, quark:toretoise, 15, 2, 4
68, plains, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 4, 4
69, plains, minecraft:sunflower_plains, CREATURE, minecraft:pig, 10, 4, 4
70, plains, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 10, 4, 4
71, plains, minecraft:sunflower_plains, CREATURE, minecraft:cow, 8, 4, 4
72, plains, minecraft:sunflower_plains, CREATURE, minecraft:horse, 5, 2, 6
73, plains, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 1, 1, 3
74, plains, minecraft:sunflower_plains, CREATURE, isleofberk:stinger, 10, 2, 4
75, plains, minecraft:sunflower_plains, CREATURE, isleofberk:gronckle, 6, 1, 2
76, plains, minecraft:sunflower_plains, CREATURE, crittersandcompanions:ferret, 3, 2, 3
77, plains, minecraft:sunflower_plains, CREATURE, naturalist:snail, 2, 1, 3
78, plains, minecraft:sunflower_plains, CREATURE, naturalist:butterfly, 4, 1, 3
79, plains, minecraft:sunflower_plains, CREATURE, naturalist:snake, 3, 1, 1
80, plains, minecraft:sunflower_plains, CREATURE, naturalist:robin, 6, 1, 4
81, plains, minecraft:sunflower_plains, CREATURE, buzzier_bees:moobloom, 15, 2, 4
82, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:hummingbird, 15, 7, 7
83, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
