1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
2, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 1, 1, 1
3, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
4, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
5, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
6, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
7, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
8, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
9, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
10, minecraft:shipwreck, MONSTER, alexsmobs:skelewag, 15, 1, 2
11, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
12, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
13, minecraft:swamp_hut, MONSTER, minecraft:witch, 1, 1, 1
14, minecraft:swamp_hut, CREATURE, minecraft:cat, 1, 1, 1
15, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
16, minecraft:monument, HEADING, header:ignore, 0, 0, 0
17, minecraft:monument, MONSTER, minecraft:guardian, 1, 2, 4
18, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
19, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
20, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
21, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
22, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
23, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
24, minecraft:fortress, MONSTER, minecraft:skeleton, 2, 5, 5
25, minecraft:fortress, MONSTER, minecraft:magma_cube, 3, 4, 4
26, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
27, minecraft:nether_fossil, MONSTER, alexsmobs:soul_vulture, 15, 1, 1
28, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
29, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
30, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
31, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
32, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
33, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
34, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
35, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
36, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
37, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
